0: 1617
640: 1598,182,4406,2108,1380
641: 2475,2832
642: 
643: 712,235,968
644: 
645: 2057,3726
646: 3065,2957,1297
647: 269,2226,3658
648: 4164,1366,1697
649: 4660,579,2871
650: 
651: 4114
652: 2952,2629,1496,3379
653: 4368,1871,308
654: 4333,606,1397,1377
655: 3191,498,2061,1713
4594: 
657: 2331
658: 
659: 
4210: 1088,2139,1709
661: 
4712: 1189,292,1794,3556,4640
4775: 2008,4203,758
664: 1739,4670,3777,1780
665: 1254
666: 4152,3678
667: 1187
668: 2930,4158,843
669: 4782
670: 1373,2639,3608,3449,1769,1534
671: 491,2070,3252,4141
672: 4782
673: 4218,3832,3471
674: 1244,4568,1662
4385: 2783,133
4437: 1649,2210
4644: 2083,4588,1369
678: 1715,528,1583,4733,3709
4580: 4272,1393
680: 523,1535
681: 2456
4107: 4172,2494,973
683: 4479,3848,2600,77,2649,4015
4320: 
685: 2664,3185,3496
686: 4300,2166,980,1824
687: 3576,2735,1729
4674: 1244
689: 3167,41
690: 
4676: 2388,2417,2289
692: 4010,3200,4159,4219
693: 2922,2640
694: 2932
695: 3047,4271,1263
696: 86,722,4792
697: 1307,1745,1677,1927
698: 3616,3998,2445,1115
699: 144,4208,1305,2207
700: 1989
701: 4100,1223
702: 2374,4144
703: 3177,1374
4223: 3940,2816
4525: 3986,1433,2530,3278
706: 3950,4195,3443,1613
707: 4549,3207,192
708: 364,2793,4658
709: 1678,769,1431,3567
710: 4524,4587,1985
4026: 2971,2894
712: 643,235,968
713: 1245
714: 4461
715: 3801,4468
716: 
717: 1289,1840,2562,166
718: 3900,273
4658: 708,2010
720: 
721: 2193,4639
722: 86,696
4708: 1381,1231,3042,964,1905
724: 2312
725: 217,2241
726: 4633,3886,34,2241,4447
727: 4822,255,3948
728: 3562,3541,1702,3077
729: 100,304,3523,4709,292,4138
730: 1384,939,402
731: 
732: 461,3722,2526,338,4444
733: 1539,173,2926
734: 3565,1546,2602
4341: 2173
736: 133,4559
737: 
738: 4719,2211,2237,2151
739: 1794,1747,3877
740: 4606,2976,2435,3954
741: 
742: 1783,2062,1974,2362,3251
743: 1115,4812,3616,819,2620
744: 1479,972,4626,3372
4272: 4580,1393,4655
746: 3592,4601
747: 4332,429,4285
748: 
749: 2349,435,2169,3739
750: 3966,2495,4235
751: 2055
752: 3044,2117,604,1569,2712
753: 267,2723,1809,3321
754: 2632,4231,3254
755: 952,3190,762
756: 3029,3762
757: 150,1211,4382
758: 4072,4203,3388,4775
759: 1823,1133,3908
4121: 2659,2669,403,1118,2471,924,965
761: 
762: 511,1080,952,755,494,817,902
763: 4007,3835,3157
764: 1462
4166: 2409,2885,890
766: 3546,930,2175,3657
767: 4758,76,1958,3658
768: 
769: 709,3363,1650,1041
4497: 1909,2189,1386
771: 
772: 1410,3710,1714,2264
773: 3861,4453
774: 1416
775: 4329,3896,4398,3349,4640
776: 925,1626,3076
777: 3855,2773,4030
778: 
779: 2412
780: 4474,861
781: 128,3542,2625
782: 2307,343
4004: 4512,2029,2542,4328
784: 2239
785: 1372,352,4346,2334
786: 
787: 4291,2619,1574,1727,1342
4724: 900,2277,4334,419,2830
789: 4627,909,877,3087,219
790: 1983,1426
791: 4540,3951,2062,3659
792: 2342,2767
793: 391,1817
794: 1698,2707,1488
795: 879,1723
796: 2447,2292,4799
797: 
4051: 3790,2839,4628
799: 121
800: 3703
801: 4354,4192
802: 2820,3110,4700,2750,5
803: 3021,4749,3462
4021: 526,3231,4192,1618
805: 4699,533,2785
806: 1975
807: 2981,4762
808: 4766,4185,3001,1203,99
4044: 2109,3858,107
4569: 1722,2325,4297,826
4490: 983,4321
812: 1764
813: 1512,3403
814: 
815: 3265,4500
816: 1867,3603,2263,2010,4806
817: 853,902,494,762
4119: 1212,1896,2424,2130
819: 3616,1048,4295,4812,743
820: 2204,3626,3512,2900
821: 3947,3791
822: 4696
823: 2165,1948
824: 3397
825: 
826: 4569,4297,3125,3731,3955
4251: 3958,2456,1516
828: 
829: 3736,3281,3422
830: 3926,425,193,552,4058
4693: 1002,1009,3012
832: 167,4144,2024
833: 532,1819,2600,2371
834: 1784,1117,355,2017
4785: 3815,3019,1190,3393,2673,2813
836: 444,3359,1372,3646,1904,317
4705: 3420,1223,305
4449: 2999,1976,1241
839: 2051,2748
840: 2858,4043,3066
841: 1608,2737,4745
842: 1759
843: 3524,668
844: 1611,4801,2520
845: 569,4016,2547
4720: 3794
847: 416,4581
848: 4739,2135,2104,1168
849: 3148,2028,4468
850: 1776
851: 4638,1589,1415,1368
852: 2195,1861
853: 817,1294,424,947
854: 3845,309,3014
855: 
856: 915,3261
857: 3357,20,3775,2350
858: 4764,2368
859: 2119,1974,2362
860: 2089,4532,2379,3824,331
861: 4448,4474,780
862: 2828,3340,3988,2687
4149: 1412,2734,3412,1496
864: 4784,3922,354,3582
4071: 1256
866: 
867: 4652,4819
868: 1146,294,3069,3821,432,1573
869: 4319,3318,2580
870: 510,1366
871: 269,4714,1288,3665
872: 1673,2684,4772
873: 463
874: 936,428
875: 2153,1231,2875
876: 1066,2023,2324
877: 789,1016,3087,3777
878: 3139,270,3546,930,2642
879: 1723,795
880: 
4073: 2300,4792,2922
4741: 2027,2689
4815: 1646,3976,1471,4627
4542: 3315,1067,1762,1165,3290,390
885: 2765
886: 2964,2519,3340
4512: 4004,2366,4328
4271: 1263,695
889: 2233,2614,4155,3869
890: 4166
891: 623,2665,4109,2934
892: 906,3002,3006,2518
893: 4364,2312,3119
4078: 4282,3657,2039,3779,930
895: 4091,443
896: 2533,1185,2790
897: 2025
4607: 2334,3899,1642,1191
899: 1918,4727,3826,466
900: 2277,4724,3485,2830,1396
901: 600,4596,2607
902: 817,511,762,3285
903: 4639,1819
904: 3252,1943
905: 4809,4102,4725,1767
906: 3002,892,4279,4470
907: 2732,1624,1428
908: 170,3825,3787,2722,2474
909: 4627,789,3976,4199
910: 2507
911: 89,1517,2372,3331,421
912: 4046
913: 3891,4014,1348,2954,3065
914: 339,2775,3456
915: 856
916: 3575
917: 364,2793,4163
918: 1,2616,2716
919: 1370,2656
920: 358,4790
4691: 3816,3232,58,4337
922: 2171,1168,3500,2135,3714,1445
923: 1096,571
924: 3164,403,4121
925: 776,4781
4706: 3406
927: 228,4810,3399,1541,4739
4524: 710
4794: 3441,3967
930: 3546,766,3657,4078,878,2642
931: 1600,4218
932: 4807,1900
933: 1688,282,3609,4125,2698
934: 
4604: 3273,3264,2643
936: 428,2822,2701,874
937: 1116,20
938: 3162
939: 569,730,294,3069,402
940: 4560,3319,987,598
4416: 2048,3211,4368,49
942: 3195,2048
4095: 3797,3673,1873,3320
944: 251,2203
945: 2485
4784: 864,3922,2225,354
947: 3285,853,424
948: 375,3883,3358,1095,4324
949: 4799,2365,3526,2704
950: 3695,3587,2737
951: 
952: 755,4139,1080,762
953: 3592,3366
4704: 4780,101
4479: 683,111,3848,2600
