442: 2412
443: 4539,3070,412
444: 107,588,4149,1739
445: 2071,3440,3076,932
446: 167,173
447: 3333,3893,3461,2719,4008,1782
448: 
449: 753,3978
450: 2776,4543,407,1088,3628
451: 3750
452: 
453: 4691,1957,4048,711,4548
454: 
455: 2726,3176,1384,1904,1633,2986
456: 2535,4332,3156,3836,404
457: 3319,1702,4169,195
458: 
459: 4740,1207,1569,2391
460: 205,2686,4330,1133
461: 3786,2305,1840
462: 3346
463: 3265,1519,251,3599,1815,122
4463: 1428,412,4543
465: 
466: 3826,1956,39
467: 1892,220,703
468: 824,2810
469: 1698,4012,2707,3801,647
470: 4606,4579,2435
471: 3913
472: 804,994
473: 2911,730,2495
474: 1263,3061,3852,1787
4710: 4628,4593,1326
476: 2709,2332,93,3348
4748: 2008,4117,4031
478: 2233,162,2665,1646
479: 561,2748
480: 2747
481: 2533,2566,4550,2947
482: 3557,2047,2905,2987
483: 3570,3244
484: 1034,404,4623,1879,4332,1174
485: 1160,60
486: 1948,3456,914,227
487: 4122,891,2600,1641,3413,494,4334
488: 2238
489: 165,14,1721
490: 3119,893
491: 1046,1998,3787,1775,710,1805
492: 4309,4339,3955
493: 767,715,2931
494: 2311,1641,4122,487,4334
4495: 
496: 2544,3458,1254,920,4364
497: 1880,2841,1690,1211
498: 2347,309,3636
499: 2289,3885,1658,2165
500: 2820,4685,2078,4101
501: 178,2937
502: 4400
503: 1955,3149,3935,2303,3432
504: 2823,1789,4569,1031
4391: 3173,3571,3786,3488,2758,399
506: 4038,2359,2926,1562,4165
507: 
508: 718,199,28
509: 1252,379,1013
510: 383,635,3774
511: 2787
4344: 2610,3288,4081
513: 4096,3394,4119,4182
514: 689,1096
515: 3635,1296
516: 2103
517: 1190,2677,1329,1757,2847,4085
518: 3650,2597,4437
4539: 4798,4754,3980,1697,443,3070
520: 
521: 3719,549,3182,1243
522: 1610
523: 3289,862,2485,2366
524: 3043,1774
525: 2584,4206,1117,1903,2152
526: 1195,3,3851
527: 1941,2676,936,2338
528: 3299,408,2109,2456
529: 4367,4315,2339,849
530: 2483,2659,4626
531: 2665,352,621
532: 3266,3085,4639
533: 3782,650
534: 812,3705,2842,2641,3152
535: 1703,2576
536: 4218,1882
537: 3730
538: 3113,4176
539: 1036
540: 303,1302,791
541: 2465,1829
542: 2176,2091,73,799,1101
543: 680,2511,426,3452
4675: 4241,882,3926,963
545: 2020,4669,618,3179
546: 2163
547: 4634,3589,4271,4184,616
4793: 2925,686
549: 4590,521,3182,3825,4485,433
550: 4224,85,2877
551: 3339,670,1974,1620
552: 696,3788,4342
553: 1112,3185,4118,390
554: 1571,3740
555: 2079,2179,1043
556: 3363,136,3908,3987,1252,4170
