665: 2729,3753,1296
666: 1347
667: 1497
668: 1474,354,3505,2424,2750
669: 1011,2465,1765
670: 1476,1993,590,4589,2510
671: 1065,3074,41,823,1297,1548
672: 4111,1558,3718,36
673: 3786,4544,3195
674: 1370,4435,963
4812: 2631,2690,879,1613,2025,1473,4431
4530: 3492,3431,3802,854,4598
677: 4628,1016,3479,2508
678: 2070,4360,3297
679: 4245,3337,4758,551,2578
680: 3860,2676,3799,295,3271
681: 2636,1906,4586
682: 1110,2055,3907
4343: 1877,3109,4686,2779
684: 1379
685: 4475,2629,2408,4002,2151
686: 4189,3166,4061
687: 
688: 1651,4390,4709,1249,1583
689: 4298,2432
690: 4187,2352
691: 2684,3134
692: 429,1990,4028
693: 
694: 2852,948,2326,1440,328
695: 876,3998,4091,2077
4347: 2358,762
4720: 4097,3167
698: 2829,3871
4184: 1005,4333,366,2520
700: 
701: 4182,2746,1918,740,4821
702: 4626,3577,4212,874,962,832
4414: 3812,4578
4377: 2277,1180,3746,769
705: 229,1040,4739,1034
706: 4169,4400
707: 4256,2198,4388,2038,183
708: 3845,3485,1550,1982
709: 3626,232,733,3411,2678
710: 4665,1783,357,3280
4589: 1864,670,3685
4146: 4561,1633,1109,439
713: 4754,67
714: 
4669: 4561,3526,2614,4047
716: 3270
717: 1810,4424,3661
718: 387,3825
719: 3278
4420: 3402,3489,4309
721: 1495
722: 4789,424,1713
723: 511,865,290
724: 4220
725: 4002,2851,4334
726: 2175,101,263,4163
727: 3781,3071,4534,2820
4571: 922,4078
729: 3878,3722,1380,1475,1386
730: 1548,4209,2886,1598
731: 3239,2093,2567
732: 2375,2301,4526,2403
733: 709,1873,232,4806
734: 2044,4496,4766,1660
4554: 2604,4615,4278
736: 4761,3454,4423
737: 3708,3525
738: 4443,2458
739: 365,2813,2375,26,2301,1965
740: 307,474,2746,701,751
741: 1634,4376,4785,4555
742: 134,2886,2984,3925
743: 
744: 481,860,2077
745: 4749,3382
4357: 4703,3283,466
4361: 
748: 3053,1208,1821,1192
749: 3713,4816
750: 818,2722,2233
751: 2450,35,307,474,740,4821
752: 1459,0,4619,1397
753: 3588,4107,810
754: 
4409: 3283,4766,4494,3700,1795
756: 401,1502,1621
757: 3278,827
758: 
759: 240
4253: 2896,886,3094
761: 
762: 4347,3279
763: 6
764: 967,1466,3148
765: 3107,3135
766: 2616,85,2207,484
4643: 1822,1949
768: 2733
769: 2168,3267,4377
770: 1893,3650,2330,3410
771: 1392,4150,1303,2360,1038
772: 3330,3506,796
773: 1724,4594,1036
774: 160,385,3150
775: 3138,3178,3734,506
776: 3440,778
777: 1618,1775,1295,1384,3796
778: 218,776,2367
779: 
780: 1347,2516
781: 
782: 3808
4753: 
784: 4714,2191,143,4587
785: 2707,2967,501,303,2339,2949
786: 2085,30
787: 3461,295,3860
788: 2305,2630,4274,544,1265,4158
789: 4036,943,3836,55,4659
4340: 2014,2138,123
791: 3903,59
792: 1076,1385,1561
793: 3325,3888,4727,285
794: 184,4304
795: 1048,4788,2515,2488,4421
796: 4039,1320,3613,772
797: 1790,1666
4502: 574,3885,17
799: 3316,1502,3461
800: 1644
801: 2000,1096
802: 4470,1030,1152,3144,1740
803: 4067,2602
804: 
805: 2525,557
806: 578,4521,1664
807: 3226
808: 3536,1511
809: 2457,499,619
810: 3602,4706,3588,753
4583: 1636
4479: 1305,3375,3546
813: 3727,1230,2146,4190
814: 2765
815: 184,1371,2028,2481
816: 3580,1292,1855
817: 4427,3285,1526,2772
818: 3884,750,2233,2707,2280
4475: 685,2629,3156
820: 19,230,2157
821: 1138,1573,1146
822: 203
823: 1297,2886,671,1548
824: 523,3386,2719
825: 2550
4167: 2505,196
827: 1781,3278,757
828: 1158,2643
829: 1239,928,2396
830: 3374,1870,3225,2189
831: 1323
832: 2350,702,4212,2024,3674
833: 
834: 3900,4232
835: 3711
836: 984,3617,4030,3269,3941
837: 3410,536,31
838: 4384,3832,1721,2523
839: 2947,2066,2877,3906
840: 1493,2456,4329,498,4272
841: 3108,1078,3279,1258
842: 
843: 427,4201,1091,3737,2955
4214: 460,1685,1581,2156
845: 935,473,871
846: 229,3657,2213,4350
847: 508,3907
848: 4000,2777
849: 3851
850: 
851: 3362,3627
852: 2195,2406,1531
853: 2669
854: 1837,3492,4530,4598
855: 
856: 3440
857: 1086,3822,922,2858
858: 895
4250: 2433
860: 3828,2066,481,744
861: 
862: 3696,327
863: 3236,4195
864: 1268,3446,3702,3604
865: 1712,723,290
866: 
867: 389
868: 358,1985
4433: 3326,3078
870: 1614,1470
871: 358,2477,845
872: 972,1912,1882,1114,2051
873: 3192,2226,3162
874: 2990,4626,702
875: 4103,3719,4003,2172
876: 3998,695,2111,2077
877: 2928,1029,217
878: 3046,4670,4282,2871,2968
879: 2631,4812,2690,3401,1781
880: 1605
881: 2704
882: 3902,3545,1802
883: 464,3526
4521: 137,2304,662,806
4794: 1359,3671
886: 2538,3094,4253
4255: 
888: 155,1994
889: 3169,3985,2108
890: 1454,3271,2676,1559,581
891: 1583,2596,1277,12,294,511
892: 4345
893: 3518,1561
894: 4821,1905
895: 1687,67,858
896: 2225,3107,2084
4488: 1520,153,3287
898: 1611,2620,4200,3761
899: 382
900: 1218,3195,2127,1386
4695: 
4816: 749,3713,476,2397
4264: 3995
904: 3691
4663: 407,4383,3745
4808: 
907: 2111,1926
4671: 1663,4141,2155,584,2738
909: 4514
910: 4244,3250
911: 3344,2416,965,2771
912: 4355,4084
913: 4733,3979,4574,469,3816
914: 1194,3997,540
915: 4549,3704,2203
916: 459,3793,3057,68,3968
917: 2817,300,1762,1228,2715
4295: 1728
919: 4670,2187,1533,3046
920: 4430,1010,2621
921: 3217,2678,492,2443,3987,468
922: 4571,2627,857,3465
923: 
924: 556,3048,3898,1838
925: 3598
926: 2428
4636: 4712,3879,2959,1877,4134,2758
928: 1239,829,934,2396
929: 1914,2353
930: 2922,3496,2664,4339,1060
931: 1104,2990,3883,4626
4544: 673,1218,3195,3395
933: 2931,3930,540
