0: 1882,3908
4997: 1870,3211
469: 303,2369,1010,646,3919,4049
470: 
471: 
472: 3840,222,3378,1623
473: 3011,4044,730,2866,818,3609
474: 795,2044,307,1956,568
475: 1176,34,373,2941,974
476: 3184,560,1823,1811,572
4992: 424,3525,438
478: 2749,1742,4215,4769,590
479: 937,3017,2823
480: 3717,1586,892,2463,1323
481: 517,648
5029: 3691,4323,1679,3436,2758
483: 858,512
484: 4911,2535,1040,3714,3391
485: 1796,3651,3634,2546,3515
486: 2239,1451,3447
487: 2595,4244,2395,2558,3343
488: 4755,2586
489: 1499,673,1025,1001,2669
490: 1480,1901,1799,1900
491: 896,2225,3737,1694
492: 4296,3321,1757,4395,342
493: 2208,4665,1346,2303,2359
494: 3085,1020,817,3112,4058
495: 1467,1764,4737
496: 2517,2855,347,831
497: 609,1303,3883,4182,1359
498: 2204,1838,2284,2856
499: 3127,4408,1064,4780
500: 2974,2816,69
501: 1160,2904,1156,3122
502: 3950,4157,1385
503: 1245,4821,422,2748,3283,4211
504: 838,1432,3669,1382,2717,658,3610
505: 4290,1865,2997,1696
506: 1377,2608,1721
507: 4559,2882,4639,1641,3792
508: 4662,3761,1910,4295
509: 597,2324,4817,1056
4924: 3719
511: 2127,653,55,290,3550
512: 1497,483,3868
513: 2582,3144,3583,2038,1009,4103,134
514: 3958,2009,540,1184
515: 706,3576
516: 2418,2138,2901,867,2666
517: 481,5008
518: 1189,255,3938,213,702
519: 979,1179,1777,3621
520: 
521: 4388,4072,2351,4949,3365
522: 2551,2421
523: 2548,805
524: 3578,3380
525: 3960,4379
526: 330,3122,2491,2467,1156
527: 1999,733,3357
528: 580,3979,239,282,677
529: 2635,665,1695,3818,2782
530: 2678,1458,36
531: 789,3020,4702,2773
532: 2698,3333,3044,4571
533: 3668,295,2407,3008,2060
4885: 122,3235
535: 3864,847,1508
536: 840,2344,1322
537: 2855
538: 4013,1355,3440,138,3265
539: 773,1834
540: 2625,1184,514,2729
541: 2136,4772,3655,2037
542: 2050,543,3984,4783,1311
543: 2050,542,3984
544: 1515,2078,1969
545: 1592,1504,3053,4417,1208
546: 4425,4260,1908
547: 3604,4357,2496,3882,3784,4050
548: 1613,4646,4651,2754
549: 265,4795,387,3464,3922
550: 3523,2416,2865,739,1968
551: 102,2680,3002,4042,4363,4595
552: 2395,3369,1555,959,2248,2158
553: 1078,4876,3848,835,4368,4718
554: 1979,2394
555: 3167,4057,2753,1195,2507,2224,3456
4968: 1054,4607
557: 4648,2317,3662
558: 2974,1336,844
559: 4792,3694,993
560: 669,1823,196,476
561: 403,3745,1685,2947,4707,2077
562: 3589,4412,757,3680
563: 3548,1273,4695,3450
564: 2847,2104,165,3335,4697,1424
5003: 3346,4955,3098
566: 1027,4433
567: 4030,4216,3250,326,1202
568: 2750,3409,2424,307,474
569: 4235,1906,1952,4647
570: 2760,4234,49,4028,2545,1767
571: 2365,178,4145
572: 1811,476,4405,1587
573: 4226,726,1770,3657,900
574: 37,4341,1043
575: 2529,946,1861
576: 2121,1471,4567,317,1084,4381,1534
577: 2107,4480,1611,3491,607
578: 4520,895,3426,356
4834: 417,3476,1284,593
580: 3979,528,3484,1227,904,239
581: 708,2213,4226,685,1112
582: 283,3851,2365,2341
583: 316,3283,3877,3149,2488,3358
584: 4805,455,2155,131,2596,2778
585: 
586: 4726,2408,2734,2715
587: 2842,1368,1820,2824,4148
588: 4616,3910,4625,1844,1648
589: 2282,3121,1579,2000,2405
590: 884,190,4769,1520,478,3069
591: 4171,3999,1707,721
592: 1997,1454
593: 1284,4834,3042,417,3476,3339,1886
594: 75,252,802,1877
595: 4432,1821
596: 2188,4694,1963
597: 3455,509,2324,3196,232,2673
598: 2820,3142,1969,2959,2926
599: 1955,1511,2605,1390,3446
600: 1550,1103
601: 2085,458,3823,2050
602: 4523,1502,3627,2429,3008
603: 4237,3152,2679,3695,3130
604: 3225,1855,247,2117
605: 3618,948,4499,4158,4727,1201,4784
606: 3849,3687,2764,839,4766,695,1668
607: 1498,3491,577,3208
608: 1691
609: 497,4759,4182,1686,63
610: 652,4140,3777,4308,3253,2133
611: 4309,1033,309,703
612: 4661,2824,2317
613: 2994
614: 1900,154,1480
615: 1103,1869,1871,2528
616: 1313,3980,1883,808
617: 341,3345
618: 3403,4469,1307,1683,4151,1277
619: 910,452,3703
620: 1082,3446,272
621: 4513,1826
622: 3603,3893,4608,4079,3494
623: 335,3752,2665,2309,4786,3028
624: 2433,4293,1991,15,1672
625: 765,416,1536,2057,116
626: 1709,3909,3427,1652
627: 897
628: 674,1045,3214,3819,2593,3972
629: 4169,825
630: 
631: 1417,4052
632: 1844,1648,4733,1380,4159
633: 364,2293,390,414,726,1770
634: 3274,3973,3932,439,4262
635: 1299,3815,2809
636: 4022,393,3275
637: 3555,2870,2331,3077
638: 2643,2457
4873: 3004,3944
640: 1051,2481,135,1174,2878,663
641: 1439,3189,1623,1902,3060
642: 3067,741
643: 4243,2210,1795,3158
644: 3605,1913,3799
645: 3615,1640
646: 3919,303,469
647: 1563,3051,2826,671,66,411
648: 2002,1079,2982,481
649: 1123,1257,726
650: 61,351,3304,3400,2917,1331
651: 4087,4581,1531
652: 4140,610,3777,3697,4308,3253
653: 111,4659,887,55,290,511
654: 3882,1925,3784,1018,3838
655: 924,853,3331,1981,3217,1838
656: 1744,1315
657: 2322,3248,2084,961,3401,4771
658: 1256,4838,1733,702,2717,504,838
659: 
660: 4095,3846,3642,2776,1
661: 1500,4603,3367,4762,4261
662: 2081,146,4425,1908
663: 1661,2967,640,1051,2878,1134,3088
664: 3956,1294,3101,1982
665: 2635,529,2782,2578,4014
666: 2513,2890,1631,321
667: 3092,806,274,2323
668: 3297,839,4593,1392
669: 1360,560,3213,196
670: 4003,2070,4100,4323,2955
671: 66,2826,1598,1449,647
672: 2446,3501
673: 1168,1705,2669,489
674: 1045,628,4654,2103,3038,3819
675: 1766,946,391,3573,2529
676: 
677: 4929,528,1319,4589,1583,3310
678: 871,1134,5028,3088,1476
679: 3294,3497,2722,358
680: 3090,1147,2634
681: 4044,785,4215,3609
682: 4358,275
683: 4110,4217,2570,4554
684: 4819,3375,3629,4392,4410
685: 1123,581
686: 2460,3052,3588,2993,4300,3067,741
687: 4099,142,2840,1339
688: 1688,3899,3359,190,3646
689: 2937,2594,44
690: 4240,4676,3858
691: 2921,1177,1635,264
692: 1034,3619,2560,1069,2599,399,4538
693: 1603
694: 2423,4545,3633,1761,4579
695: 1940,3852,4766,606,3849,2520
696: 4127
697: 4574,3480,3299,3530
